"id","category","name","route","classification","new_ux_location","owning_module","roles","status"
"TA20","Tenant Administration","Roles","/screens/ta20/roles","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA21","Tenant Administration","Create / Edit Role","/screens/ta21/create-edit-role","MERGE","Guided workflow step, modal or inline action","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA22","Tenant Administration","Role Module Assignment","/screens/ta22/role-module-assignment","MERGE","Guided workflow step, modal or inline action","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA23","Tenant Administration","Role Permission Matrix","/screens/ta23/role-permission-matrix","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA24","Tenant Administration","Role Data Scope","/screens/ta24/role-data-scope","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA25","Tenant Administration","Role Location Scope","/screens/ta25/role-location-scope","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA26","Tenant Administration","Effective Access Preview","/screens/ta26/effective-access-preview","EMBED","Contextual detail, tab, drawer or review panel","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA27","Tenant Administration","Clone Role","/screens/ta27/clone-role","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA28","Tenant Administration","Role Assignment History","/screens/ta28/role-assignment-history","EMBED","Contextual detail, tab, drawer or review panel","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA29","Tenant Administration","Master Configuration Home","/screens/ta29/master-configuration-home","REDESIGN","Role workspace or operational queue","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA30","Tenant Administration","Lookup Types","/screens/ta30/lookup-types","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA31","Tenant Administration","Lookup Values","/screens/ta31/lookup-values","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA32","Tenant Administration","Forms & Templates","/screens/ta32/forms-templates","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA33","Tenant Administration","Form Designer / Versioning","/screens/ta33/form-designer-versioning","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA34","Tenant Administration","Assessment Definitions","/screens/ta34/assessment-definitions","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA35","Tenant Administration","Clinical Terminology","/screens/ta35/clinical-terminology","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA36","Tenant Administration","Document / Communication Templates","/screens/ta36/document-communication-templates","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA37","Tenant Administration","Tenant Settings","/screens/ta37/tenant-settings","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"W01","Staff Home & Work","My Dashboard","/screens/w01/my-dashboard","REDESIGN","Role workspace or operational queue","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W02","Staff Home & Work","My Clients","/screens/w02/my-clients","REDESIGN","Role workspace or client journey surface","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W03","Staff Home & Work","My Schedule","/screens/w03/my-schedule","REDESIGN","Role workspace or operational queue","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W04","Staff Home & Work","My Tasks","/screens/w04/my-tasks","REDESIGN","Role workspace or client journey surface","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W05","Staff Home & Work","Team Tasks","/screens/w05/team-tasks","REDESIGN","Role workspace or client journey surface","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W06","Staff Home & Work","Notifications","/screens/w06/notifications","REDESIGN","Role workspace or client journey surface","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W07","Staff Home & Work","Alerts / Escalations","/screens/w07/alerts-escalations","REDESIGN","Role workspace or client journey surface","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W08","Staff Home & Work","Pending Reviews / Signatures","/screens/w08/pending-reviews-signatures","EMBED","Contextual detail, tab, drawer or review panel","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"W09","Staff Home & Work","Shift / Centre Overview","/screens/w09/shift-centre-overview","REDESIGN","Role workspace or operational queue","Staff Home & Work","Permission-derived workspace users","Existing route; redesign planned"
"R01","Referral & Pre-Admission","Referral / Enquiry Dashboard","/screens/r01/referral-enquiry-dashboard","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R02","Referral & Pre-Admission","Referral List","/screens/r02/referral-list","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R03","Referral & Pre-Admission","New Referral","/screens/r03/new-referral","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R04","Referral & Pre-Admission","Referral Detail","/screens/r04/referral-detail","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R05","Referral & Pre-Admission","Referral Documents","/screens/r05/referral-documents","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R06","Referral & Pre-Admission","Pre-Admission Screening","/screens/r06/pre-admission-screening","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R07","Referral & Pre-Admission","Eligibility / Suitability Review","/screens/r07/eligibility-suitability-review","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R08","Referral & Pre-Admission","Referral Clinical Review","/screens/r08/referral-clinical-review","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R09","Referral & Pre-Admission","Referral Tasks","/screens/r09/referral-tasks","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R10","Referral & Pre-Admission","Referral Communication History","/screens/r10/referral-communication-history","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R11","Referral & Pre-Admission","Referral Decision","/screens/r11/referral-decision","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R12","Referral & Pre-Admission","Waitlist","/screens/r12/waitlist","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"R13","Referral & Pre-Admission","Convert Referral to Admission","/screens/r13/convert-referral-to-admission","MERGE","Referral queue, screening, matching, admission workflow or Client 360","Referral & Pre-Admission","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR01","Client Registry","Client Search / Registry","/screens/cr01/client-search-registry","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR02","Client Registry","Register Client","/screens/cr02/register-client","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR03","Client Registry","Duplicate Candidate Review","/screens/cr03/duplicate-candidate-review","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR04","Client Registry","Client Identity","/screens/cr04/client-identity","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR05","Client Registry","Demographics","/screens/cr05/demographics","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR06","Client Registry","Contact / Address","/screens/cr06/contact-address","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR07","Client Registry","Emergency Contacts","/screens/cr07/emergency-contacts","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR08","Client Registry","Identifiers","/screens/cr08/identifiers","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR09","Client Registry","Relationships / Family","/screens/cr09/relationships-family","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR10","Client Registry","Client Merge","/screens/cr10/client-merge","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"CR11","Client Registry","Client Correction History","/screens/cr11/client-correction-history","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Client Registry","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-01","Client 360","Overview","/screens/p360-01/overview","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-02","Client 360","Timeline","/screens/p360-02/timeline","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-03","Client 360","Admissions / Encounters","/screens/p360-03/admissions-encounters","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-04","Client 360","Problems / Conditions","/screens/p360-04/problems-conditions","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-05","Client 360","Allergies","/screens/p360-05/allergies","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-06","Client 360","Assessments","/screens/p360-06/assessments","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-07","Client 360","Treatment Plan","/screens/p360-07/treatment-plan","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-08","Client 360","Goals","/screens/p360-08/goals","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-09","Client 360","Care Team","/screens/p360-09/care-team","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-10","Client 360","Therapy","/screens/p360-10/therapy","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-11","Client 360","Medication","/screens/p360-11/medication","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-12","Client 360","Observations / Vitals","/screens/p360-12/observations-vitals","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-13","Client 360","Residential","/screens/p360-13/residential","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-14","Client 360","Diagnostics","/screens/p360-14/diagnostics","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-15","Client 360","Family","/screens/p360-15/family","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-16","Client 360","Documents","/screens/p360-16/documents","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-17","Client 360","Billing","/screens/p360-17/billing","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"P360-18","Client 360","Aftercare","/screens/p360-18/aftercare","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Client 360","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD01","Admission & Onboarding","Admission Dashboard","/screens/ad01/admission-dashboard","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD02","Admission & Onboarding","Admissions List","/screens/ad02/admissions-list","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD03","Admission & Onboarding","New Admission Wizard","/screens/ad03/new-admission-wizard","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD04","Admission & Onboarding","Admission Details","/screens/ad04/admission-details","EMBED","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD05","Admission & Onboarding","Programme / Centre Selection","/screens/ad05/programme-centre-selection","MERGE","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD06","Admission & Onboarding","Room / Bed Allocation","/screens/ad06/room-bed-allocation","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD07","Admission & Onboarding","Admission Clinical Information","/screens/ad07/admission-clinical-information","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD08","Admission & Onboarding","Identity / Document Verification","/screens/ad08/identity-document-verification","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD09","Admission & Onboarding","Consent & Privacy Notices","/screens/ad09/consent-privacy-notices","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD10","Admission & Onboarding","Electronic Signature","/screens/ad10/electronic-signature","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
"AD11","Admission & Onboarding","Belongings / Valuables","/screens/ad11/belongings-valuables","REDESIGN","Referral queue, screening, matching, admission workflow or Client 360","Admission & Onboarding","Permission-derived workspace users","UI-3 implemented in connected referral-to-admission journey"
